uniqueid,bank_account
uniqueid_7867 x Kenya,1
uniqueid_6722 x Kenya,0
uniqueid_6714 x Kenya,1
uniqueid_8103 x Kenya,1
uniqueid_8657 x Kenya,1
uniqueid_7407 x Kenya,1
uniqueid_8440 x Kenya,0
uniqueid_6637 x Kenya,0
uniqueid_8506 x Kenya,0
uniqueid_6875 x Kenya,0
uniqueid_7392 x Kenya,
uniqueid_8058 x Kenya,
uniqueid_6425 x Kenya,
uniqueid_6669 x Kenya,
uniqueid_6734 x Kenya,
uniqueid_8373 x Kenya,
uniqueid_6671 x Kenya,
uniqueid_7913 x Kenya,
uniqueid_7847 x Kenya,
uniqueid_7676 x Kenya,
uniqueid_7914 x Kenya,
uniqueid_6659 x Kenya,
uniqueid_6122 x Kenya,
uniqueid_8082 x Kenya,
uniqueid_7220 x Kenya,
uniqueid_6345 x Kenya,
uniqueid_6648 x Kenya,
uniqueid_7518 x Kenya,
uniqueid_6573 x Kenya,
uniqueid_6643 x Kenya,
uniqueid_6642 x Kenya,
uniqueid_6149 x Kenya,
uniqueid_6740 x Kenya,
uniqueid_8387 x Kenya,
uniqueid_7189 x Kenya,
uniqueid_6331 x Kenya,
uniqueid_6610 x Kenya,
uniqueid_8215 x Kenya,
uniqueid_7971 x Kenya,
uniqueid_8262 x Kenya,
uniqueid_6715 x Kenya,
uniqueid_6598 x Kenya,
uniqueid_6746 x Kenya,
uniqueid_6747 x Kenya,
uniqueid_6590 x Kenya,
uniqueid_6596 x Kenya,
uniqueid_6476 x Kenya,
uniqueid_8263 x Kenya,
uniqueid_6749 x Kenya,
uniqueid_7935 x Kenya,
uniqueid_6582 x Kenya,
uniqueid_8248 x Kenya,
uniqueid_7267 x Kenya,
uniqueid_6751 x Kenya,
uniqueid_7766 x Kenya,
uniqueid_6783 x Kenya,
uniqueid_8179 x Kenya,
uniqueid_6568 x Kenya,
uniqueid_8269 x Kenya,
uniqueid_6906 x Kenya,
uniqueid_6563 x Kenya,
uniqueid_6084 x Kenya,
uniqueid_6753 x Kenya,
uniqueid_8488 x Kenya,
uniqueid_8629 x Kenya,
uniqueid_8433 x Kenya,
uniqueid_7151 x Kenya,
uniqueid_6756 x Kenya,
uniqueid_6546 x Kenya,
uniqueid_6830 x Kenya,
uniqueid_7919 x Kenya,
